date,amount,category,description
20-07-2024,125.65,Income,salary
03-11-2024,1200.0,Income,Salary
05-07-2024,75.50,Expense,Grocery
12-07-2024,150.00,Expense,Utilities
25-07-2024,50.00,Expense,Transport
30-07-2024,100.00,Income,Freelance
02-08-2024,250.00,Income,Bonus
07-08-2024,45.25,Expense,Entertainment
10-08-2024,300.00,Income,Freelance
15-08-2024,60.00,Expense,Groceries
18-08-2024,90.75,Expense,Restaurant
22-08-2024,35.50,Expense,Transport
28-08-2024,700.00,Income,Freelance
01-09-2024,120.50,Expense,Shopping
04-09-2024,125.00,Expense,Utilities
10-09-2024,400.00,Income,Project
15-09-2024,90.00,Expense,Healthcare
20-09-2024,35.25,Expense,Entertainment
27-09-2024,75.00,Expense,Restaurant
03-10-2024,150.00,Income,Bonus
08-10-2024,500.00,Income,Freelance
14-10-2024,85.00,Expense,Groceries
17-10-2024,40.00,Expense,Transport
22-10-2024,60.50,Expense,Utilities
28-10-2024,100.00,Income,Freelance
01-11-2024,65.00,Expense,Entertainment
06-11-2024,95.00,Expense,Healthcare
10-11-2024,120.00,Expense,Shopping
15-11-2024,1000.00,Income,Salary
18-11-2024,75.00,Expense,Restaurant
24-11-2024,45.00,Expense,Transport
30-11-2024,150.00,Income,Project
05-12-2024,125.75,Expense,Groceries
